# q/gT, DeltaC(q)/gT, C(q), CMin, CMax, 2pisigma/q^3, bbLnbCoef/q^4
1.000000000000000056e-01, -2.467547316227265863e+00, 2.623456075476241494e+03, 2.623341004011548648e+03, 2.623560864315944855e+03, 2.579360780717468970e+03, -1.481960146372599411e+04
1.055898194433578657e-01, -2.466093213141849816e+00, 2.230315287083340536e+03, 2.230200436458632794e+03, 2.230419819410797118e+03, 2.191018024686575700e+03, -1.192197853471147209e+04
1.114920997008091719e-01, -2.464473059622063644e+00, 1.896137385670493359e+03, 1.896022780922823358e+03, 1.896241632496764623e+03, 1.861143280299914295e+03, -9.590917308405487347e+03
1.177243067676929378e-01, -2.462668028645474294e+00, 1.612068585386236691e+03, 1.611954254325554075e+03, 1.612172514468331428e+03, 1.580933735267208249e+03, -7.715640029786232844e+03
1.243048829569517316e-01, -2.460657184955545862e+00, 1.370585690164932657e+03, 1.370471663775327897e+03, 1.370689265747043919e+03, 1.342911908911798719e+03, -6.207028916521523570e+03
1.312533014735226544e-01, -2.458417279565320523e+00, 1.165296013215084713e+03, 1.165182325832751530e+03, 1.165399195572179678e+03, 1.140726113224677192e+03, -4.993391063061533714e+03
1.385901240393387357e-01, -2.455922441906140730e+00, 9.907673945880659403e+02, 9.906540843486214953e+02, 9.908701396444899956e+02, 9.689809560532717114e+02, -4.017051417675045741e+03
1.463370617394634809e-01, -2.453144053860376150e+00, 8.423837877107860095e+02, 8.422708969520566598e+02, 8.424860466696711683e+02, 8.230933633488076566e+02, -3.231611922329873323e+03
1.545170392694146522e-01, -2.450050222066439964e+00, 7.162225682110677099e+02, 7.161101440005838867e+02, 7.163242868820909734e+02, 6.991702783801728174e+02, -2.599746563012345632e+03
1.631542627737973539e-01, -2.446605643295482135e+00, 6.089502959750271884e+02, 6.088383903128122938e+02, 6.090514144192560479e+02, 5.939047742789897484e+02, -2.091427545861305589e+03
1.722742914769942457e-01, -2.442771183553981373e+00, 5.177341546927663103e+02, 5.176228253081894763e+02, 5.178346066458507266e+02, 5.044878076461735645e+02, -1.682498302649617926e+03
1.819041133178822822e-01, -2.438503457308653921e+00, 4.401667099977541397e+02, 4.400560207429554680e+02, 4.402664221361276873e+02, 4.285332583369436179e+02, -1.353525511328696211e+03
1.920722248123929998e-01, -2.433754456549557244e+00, 3.742019824718211680e+02, 3.740920040188541407e+02, 3.743008738654506828e+02, 3.640142550871626668e+02, -1.088875576832680736e+03
2.028087153802462239e-01, -2.428471092709879819e+00, 3.181011334850287540e+02, 3.179919438675220249e+02, 3.181991148639926905e+02, 3.092090878101129761e+02, -8.759716842416968348e+02
2.141453563853955300e-01, -2.422594698868818952e+00, 2.703863177875376209e+02, 2.702780032076502721e+02, 2.704832909336388980e+02, 2.626552632161851193e+02, -7.046961176457218698e+02
2.261156951536744397e-01, -2.416060508786369354e+00, 2.298014743856693656e+02, 2.296941298811799754e+02, 2.298973310579175404e+02, 2.231104777150960956e+02, -5.669094414334198291e+02
2.387551542458583309e-01, -2.408797130192797731e+00, 1.952790120718847788e+02, 1.951727422631720117e+02, 1.953736336106406100e+02, 1.895194661501496398e+02, -4.560636943198342124e+02
2.521011362799123745e-01, -2.400725962279903314e+00, 1.659115030671895283e+02, 1.658064230265848948e+02, 1.660047593465302214e+02, 1.609858417124775940e+02, -3.668912141430316183e+02
2.661931346126130693e-01, -2.391760614414278230e+00, 1.409276315185556143e+02, 1.408238674746837660e+02, 1.410193802358748769e+02, 1.367481755744403813e+02, -2.951543056197481292e+02
2.810728502080727109e-01, -2.381806281387595980e+00, 1.196717570132026651e+02, 1.195694473213500686e+02, 1.197618429247729921e+02, 1.161596779196054285e+02, -2.374438546569112987e+02
2.967843150390037654e-01, -2.370759136478107543e+00, 1.015865494308601171e+02, 1.014858452875746337e+02, 1.016748036205004269e+02, 9.867093815113723565e+01, -1.910173188764763381e+02
3.133740223858904606e-01, -2.358505745701120482e+00, 8.619823329242674959e+01, 8.609929960724542752e+01, 8.628447255450302578e+01, 8.381526369558160638e+01, -1.536683952653959864e+02
3.308910644196496054e-01, -2.344922468404590621e+00, 7.310404927538391462e+01, 7.300706531030098745e+01, 7.318807560635748644e+01, 7.119622616336613419e+01, -1.236221712373223909e+02
