# gTb, C(b)/(g^2TC_R), Derivative
1.000000000000000021e-03, 4.483646897833534224e-07, 4.549780942502415737e-07
8.327308255984367663e-03, 2.177605502205781876e-05, 2.330214395568942505e-05
1.565461651196873444e-02, 6.804306713542227457e-05, 7.383651920683581213e-05
2.298192476795310468e-02, 1.358558459942289819e-04, 1.474152243301029934e-04
3.030923302393747146e-02, 2.228306711435998214e-04, 2.420866132049562399e-04
3.763654127992183823e-02, 3.277636156497910338e-04, 3.560967998793104381e-04
4.496384953590620848e-02, 4.499173212246955337e-04, 4.881409891658627974e-04
5.229115779189057178e-02, 5.886731393718695748e-04, 6.370235628555250083e-04
5.961846604787494203e-02, 7.434971042883520157e-04, 8.018484713422164211e-04
6.694577430385931227e-02, 9.139417576592202309e-04, 9.817932999423037519e-04
7.427308255984367558e-02, 1.099647115080348500e-03, 1.176056293229000519e-03
8.160039081582803888e-02, 1.300347237103318841e-03, 1.384015271824264861e-03
8.892769907181241607e-02, 1.515887515181351839e-03, 1.606430031197228665e-03
9.625500732779677937e-02, 1.746239693616746412e-03, 1.842907913389305345e-03
1.035823155837811427e-01, 1.991486581004461767e-03, 2.093606462583507983e-03
1.109096238397655199e-01, 2.251775393424435088e-03, 2.358779499853240480e-03
1.182369320957498832e-01, 2.527263268528292563e-03, 2.638725842425999803e-03
1.255642403517342465e-01, 2.818072345761345361e-03, 2.933711870450756484e-03
1.328915486077186237e-01, 3.124265044707788454e-03, 3.243896210483481791e-03
1.402188568637029731e-01, 3.445839480223767022e-03, 3.569313413199369858e-03
1.475461651196873503e-01, 3.782749064806847569e-03, 3.909920573237814743e-03
1.548734733756717274e-01, 4.134926408115099580e-03, 4.265648562932519532e-03
1.622007816316560769e-01, 4.502299214310593982e-03, 4.636426146271790602e-03
1.695280898876404541e-01, 4.884794955800553749e-03, 5.022182304969598221e-03
1.768553981436248312e-01, 5.282341330878264317e-03, 5.422846241819045954e-03
1.841827063996091807e-01, 5.694866266148453787e-03, 5.838347380349133940e-03
1.915100146555935579e-01, 6.122297916168055118e-03, 6.268615364481521304e-03
1.988373229115779350e-01, 6.564564663086938819e-03, 6.713580058187276420e-03
2.061646311675622845e-01, 7.021595116288686413e-03, 7.173299834872398813e-03
2.134919394235466616e-01, 7.493318112031329206e-03, 7.648742146399689287e-03
2.208192476795310388e-01, 7.979662713088106138e-03, 8.138828990114177139e-03
2.281465559355153883e-01, 8.480558208388215558e-03, 8.643489022394675383e-03
2.354738641914997654e-01, 8.995934112657567872e-03, 9.162651130006744041e-03
2.428011724474841426e-01, 9.525720166059542526e-03, 9.696244429730287509e-03
2.501284807034684921e-01, 1.006984633383572331e-02, 1.024419826798725688e-02
2.574557889594528692e-01, 1.062824280594668221e-02, 1.080644222046929330e-02
2.647830972154372464e-01, 1.120083999671269911e-02, 1.138290609176540076e-02
2.721104054714216236e-01, 1.178756854445453701e-02, 1.197351991498959468e-02
2.794377137274059453e-01, 1.238835931113417207e-02, 1.257821395140855565e-02
2.867650219833903225e-01, 1.300314338199559140e-02, 1.319691869006933346e-02
2.940923302393746996e-01, 1.363185206520548150e-02, 1.382956484742694885e-02
3.014196384953590768e-01, 1.427441689149403295e-02, 1.447608336697209577e-02
3.087469467513434540e-01, 1.493076961379567226e-02, 1.513640541885878654e-02
3.160742550073278312e-01, 1.560084220688980408e-02, 1.581046239953200552e-02
3.234015632633121529e-01, 1.628456686704158815e-02, 1.649818593135539413e-02
3.307288715192965300e-01, 1.698187601164269020e-02, 1.719950786223889416e-02
3.380561797752809072e-01, 1.769270227885199817e-02, 1.791436026526640676e-02
3.453834880312652844e-01, 1.841697852723642517e-02, 1.864267543832345136e-02
3.527107962872496616e-01, 1.915463783541162396e-02, 1.938438590372485240e-02
3.600381045432340388e-01, 1.990561350168274998e-02, 2.013942440784236357e-02
3.673654127992183605e-01, 2.066983904368521752e-02, 2.090772392073234065e-02
3.746927210552027376e-01, 2.144724819802548352e-02, 2.168921763576344211e-02
3.820200293111871148e-01, 2.223777491992173436e-02, 2.248383896924422212e-02
3.893473375671714920e-01, 2.304135338284468010e-02, 2.329152156005082075e-02
3.966746458231558692e-01, 2.385791797815828980e-02, 2.411219926925466106e-02
4.040019540791402464e-01, 2.468740331476058578e-02, 2.494580617975005257e-02
4.113292623351245680e-01, 2.552974421872433383e-02, 2.579227659588186755e-02
4.186565705911089452e-01, 2.638487573293785485e-02, 2.665154504307326935e-02
4.259838788470933224e-01, 2.725273311674571153e-02, 2.752354626745323260e-02
4.333111871030776996e-01, 2.813325184558953390e-02, 2.840821523548434438e-02
4.406384953590620768e-01, 2.902636761064871646e-02, 2.930548713359038340e-02
4.479658036150464540e-01, 2.993201631848119854e-02, 3.021529736778402406e-02
4.552931118710307756e-01, 3.085013409066419965e-02, 3.113758156329445373e-02
4.626204201270151528e-01, 3.178065726343500680e-02, 3.207227556419507686e-02
4.699477283829995300e-01, 3.272352238733167162e-02, 3.301931543303115307e-02
4.772750366389839072e-01, 3.367866622683381855e-02, 3.397863745044742839e-02
4.846023448949682844e-01, 3.464602576000334888e-02, 3.495017811481589826e-02
4.919296531509526060e-01, 3.562553817812522117e-02, 3.593387414186334505e-02
4.992569614069369832e-01, 3.661714088534823858e-02, 3.692966246429908034e-02
5.065842696629213604e-01, 3.762077149832569745e-02, 3.793748023144253440e-02
5.139115779189057376e-01, 3.863636784585624401e-02, 3.895726480885103316e-02
5.212388861748901148e-01, 3.966386796852459928e-02, 3.998895377794732531e-02
5.285661944308744919e-01, 4.070321011834225622e-02, 4.103248493564733840e-02
5.358935026868588691e-01, 4.175433275838832947e-02, 4.208779629398779615e-02
5.432208109428432463e-01, 4.281717456245019010e-02, 4.315482607975387741e-02
5.505481191988276235e-01, 4.389167441466434311e-02, 4.423351273410691675e-02
5.578754274548118897e-01, 4.497777140915706212e-02, 4.532379491221198015e-02
5.652027357107962668e-01, 4.607540484968530858e-02, 4.642561148286568351e-02
5.725300439667806440e-01, 4.718451424927723459e-02, 4.753890152812367820e-02
5.798573522227650212e-01, 4.830503932987315757e-02, 4.866360434292837933e-02
5.871846604787493984e-01, 4.943692002196620888e-02, 4.979970032497737370e-02
5.945119687347337756e-01, 5.058009646424314193e-02, 5.094863876885077220e-02
6.018392769907181528e-01, 5.173450900322499463e-02, 5.210884021996690235e-02
6.091665852467025299e-01, 5.290009819290793919e-02, 5.328024424359196348e-02
6.164938935026869071e-01, 5.407680479440398619e-02, 5.446279061997025966e-02
6.238212017586712843e-01, 5.526456977558174416e-02, 5.565641934394083279e-02
6.311485100146556615e-01, 5.646333431070715836e-02, 5.686107062455433153e-02
6.384758182706400387e-01, 5.767303978008433973e-02, 5.807668488468960277e-02
6.458031265266243048e-01, 5.889362776969612329e-02, 5.930320276067048424e-02
6.531304347826086820e-01, 6.012504007084513991e-02, 6.054056510188261797e-02
6.604577430385930592e-01, 6.136721867979422207e-02, 6.178871297038999316e-02
6.677850512945774364e-01, 6.262010579740741323e-02, 6.304758764055180820e-02
6.751123595505618136e-01, 6.388364382879056780e-02, 6.431713059863919391e-02
6.824396678065461908e-01, 6.515777538293218707e-02, 6.559728354245179804e-02
6.897669760625305679e-01, 6.644244327234416492e-02, 6.688798838093479304e-02
6.970942843185149451e-01, 6.773759051270243636e-02, 6.818918723379525926e-02
7.044215925744993223e-01, 6.904316032248793145e-02, 6.950082243111924130e-02
7.117489008304836995e-01, 7.035909612262712665e-02, 7.082283651298817984e-02
7.190762090864680767e-01, 7.168534153613295712e-02, 7.215517222909592632e-02
7.264035173424523428e-01, 7.302184038774534036e-02, 7.349777253836518864e-02
7.337308255984367200e-01, 7.436853670357231050e-02, 7.485058060856455975e-02
7.410581338544210972e-01, 7.572537471073033377e-02, 7.621353981592493554e-02
7.483854421104054744e-01, 7.709229883698540120e-02, 7.758659374475644632e-02
7.557127503663898516e-01, 7.846925371039356611e-02, 7.896968618706511067e-02
7.630400586223742287e-01, 7.985618415894182864e-02, 8.036276114216966970e-02
7.703673668783586059e-01, 8.125303521018886754e-02, 8.176576281631806054e-02
7.776946751343429831e-01, 8.265975209090567488e-02, 8.317863562230447261e-02
7.850219833903273603e-01, 8.407628022671649604e-02, 8.460132417908576563e-02
7.923492916463117375e-01, 8.550256524173939499e-02, 8.603377331139856754e-02
7.996765999022961147e-01, 8.693855295822719431e-02, 8.747592804937552591e-02
8.070039081582804918e-01, 8.838418939620802661e-02, 8.892773362816247529e-02
8.143312164142647580e-01, 8.983942077312627450e-02, 9.038913548753479965e-02
