# Parameter : G->GG gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 20.1586 q0= 0.777193 q3= 7.22437 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.000888889 0.00052553 9.62223e-08 0.000278152 0.000525434 2.40556e-09 9.26161e-06 -1.90305e-05
0.00177778 0.000286307 7.69778e-07 0.000464316 0.000285537 3.84889e-08 3.70769e-05 3.35129e-05
0.00266667 0.000300152 2.59799e-06 0.000651162 0.000297554 1.9485e-07 8.35085e-05 6.20666e-05
0.00355556 0.000696102 6.15812e-06 0.000838604 0.000689944 6.15818e-07 0.000148625 9.1822e-05
0.00444444 0.000466588 1.20273e-05 0.00102645 0.00045456 1.50344e-06 0.000232485 0.000160816
0.00533333 0.000934448 2.07822e-05 0.00121444 0.000913665 3.11747e-06 0.000335131 0.000206272
0.00622222 0.000699813 3.2999e-05 0.00140221 0.000666814 5.77528e-06 0.000456574 0.000297639
0.00711111 0.000990821 4.92524e-05 0.00158934 0.000941569 9.85182e-06 0.000596795 0.00036432
0.008 0.000978095 7.01154e-05 0.00177536 0.000907979 1.57794e-05 0.000755729 0.000458477
0.00888889 0.0013174 9.61581e-05 0.00195971 0.00122125 2.40476e-05 0.000933265 0.000549275
0.00977778 0.00120612 0.000127947 0.00214178 0.00107817 3.52026e-05 0.00112924 0.0006714
0.0106667 0.00163008 0.000166042 0.0023209 0.00146404 4.98472e-05 0.00134341 0.000779217
0.0115556 0.00158222 0.000210998 0.00249635 0.00137122 6.86397e-05 0.0015755 0.000925621
0.0124444 0.00182275 0.000263359 0.00266735 0.00155939 9.22936e-05 0.00182514 0.00106274
0.0133333 0.00202805 0.000323657 0.00283306 0.00170439 0.000121576 0.00209187 0.00121868
0.0142222 0.00237993 0.00039241 0.00299262 0.00198752 0.000157307 0.00237518 0.00138912
0.0151111 0.00252944 0.000470119 0.00314511 0.00205932 0.000200357 0.00267444 0.00158787
0.016 0.00262114 0.000557263 0.00328959 0.00206387 0.000251645 0.00298895 0.00179381
0.0168889 0.00306183 0.000654297 0.00342509 0.00240754 0.000312139 0.00331791 0.00200019
0.0177778 0.00344098 0.000761644 0.00355063 0.00267933 0.000382848 0.00366042 0.00224095
0.0186667 0.00355207 0.000879695 0.00366523 0.00267238 0.000464825 0.00401548 0.00250888
0.0195556 0.00403188 0.0010088 0.00376794 0.00302308 0.000559156 0.00438201 0.00277612
0.0204444 0.00419838 0.00114927 0.00385782 0.00304911 0.000666964 0.0047588 0.00307843
0.0213333 0.00476571 0.00130136 0.00393398 0.00346435 0.000789397 0.00514458 0.00338334
0.0222222 0.00502731 0.00146527 0.0039956 0.00356204 0.00092763 0.00553798 0.00372977
0.0231111 0.00546739 0.00164115 0.00404194 0.00382624 0.00108285 0.00593754 0.00408598
0.024 0.00584687 0.00182908 0.00407236 0.00401779 0.00125626 0.00634173 0.0044686
0.0248889 0.00624979 0.00202905 0.00408634 0.00422074 0.00144907 0.00674897 0.00487038
0.0257778 0.00680809 0.00224101 0.0040835 0.00456708 0.00166247 0.0071576 0.00529245
0.0266667 0.0072425 0.00246481 0.00406362 0.00477769 0.00189767 0.00756595 0.00574916
0.0275556 0.00755219 0.00270021 0.00402664 0.00485198 0.00215582 0.00797232 0.00622693
0.0284444 0.00823067 0.00294691 0.00397269 0.00528376 0.00243808 0.00837498 0.00671213
0.0293333 0.00861144 0.0032045 0.00390209 0.00540694 0.00274557 0.00877225 0.0072405
0.0302222 0.00912074 0.0034725 0.00381537 0.00564824 0.00307933 0.00916246 0.0077812
0.0311111 0.00962458 0.00375033 0.00371324 0.00587425 0.00344039 0.00954399 0.00834602
0.032 0.0100792 0.00403733 0.00359663 0.00604184 0.0038297 0.00991532 0.00893345
0.0328889 0.0106509 0.00433276 0.00346664 0.0063181 0.00424814 0.010275 0.00953763
0.0337778 0.011208 0.00463582 0.00332457 0.00657221 0.00469651 0.0106216 0.0101694
0.0346667 0.0115045 0.00494561 0.00317186 0.00655893 0.00517553 0.0109541 0.0108267
0.0355556 0.0120811 0.00526118 0.00301009 0.00681991 0.00568582 0.0112713 0.0114826
0.0364444 0.0126723 0.00558154 0.00284097 0.00709072 0.00622792 0.0115723 0.0121645
0.0373333 0.0129734 0.00590564 0.00266628 0.00706779 0.00680226 0.0118564 0.0128736
0.0382222 0.0135742 0.00623239 0.00248786 0.00734183 0.00740914 0.012123 0.0135804
0.0391111 0.0138885 0.00656069 0.00230755 0.00732784 0.00804879 0.0123718 0.0143146
0.04 0.0144542 0.00688943 0.0021272 0.00756476 0.00872129 0.0126026 0.0150474
0.0408889 0.0148161 0.00721749 0.00194861 0.0075986 0.00942665 0.0128153 0.0158038
0.0417778 0.0152336 0.00754377 0.00177349 0.00768986 0.0101647 0.0130101 0.0165637
0.0426667 0.0154914 0.00786719 0.00160346 0.00762419 0.0109353 0.0131875 0.0173327
0.0435556 0.0160357 0.00818672 0.00144001 0.00784897 0.011738 0.0133478 0.0180951
0.0444444 0.0163081 0.00850134 0.00128446 0.00780677 0.0125725 0.0134918 0.01888
0.0453333 0.0165779 0.00881012 0.00113799 0.00776779 0.0134381 0.0136203 0.0196607
0.0462222 0.0168217 0.00911218 0.00100157 0.00770954 0.0143343 0.0137341 0.0204375
0.0471111 0.0171685 0.00940671 0.000876028 0.00776178 0.0152603 0.0138342 0.0212084
0.048 0.0174993 0.00969297 0.000761964 0.00780633 0.0162154 0.0139218 0.0219846
0.0488889 0.0176596 0.00997029 0.000659816 0.00768933 0.0171986 0.013998 0.0227652
0.0497778 0.0178159 0.0102381 0.000569836 0.00757773 0.0182091 0.014064 0.0235342
0.0506667 0.0180372 0.0104959 0.000492112 0.00754129 0.0192459 0.014121 0.0242919
0.0515556 0.0182442 0.0107434 0.000426574 0.00750085 0.0203079 0.0141702 0.0250461
0.0524444 0.0184346 0.0109801 0.000373013 0.00745454 0.0213942 0.0142129 0.0257961
0.0533333 0.0185001 0.0112058 0.000331095 0.00729435 0.0225036 0.0142502 0.0265416
0.0542222 0.018743 0.0114203 0.000300379 0.00732262 0.023635 0.0142833 0.027271
0.0551111 0.0186871 0.0116237 0.000280336 0.00706343 0.0247873 0.0143133 0.0280033
0.056 0.0188249 0.0118157 0.000270363 0.00700917 0.0259593 0.0143414 0.0287096
0.0568889 0.0189413 0.0119965 0.000269805 0.00694478 0.02715 0.0143684 0.0294106
0.0577778 0.0189234 0.0121662 0.000277966 0.00675718 0.0283583 0.0143954 0.030105
0.0586667 0.0191868 0.0123249 0.000294127 0.00686188 0.0295829 0.0144232 0.0307807
0.0595556 0.0188889 0.0124728 0.000317555 0.00641609 0.0308229 0.0144526 0.0314669
0.0604444 0.0190898 0.0126102 0.000347521 0.0064796 0.0320771 0.0144843 0.0321085
0.0613333 0.0190485 0.0127372 0.000383304 0.00631131 0.0333446 0.0145191 0.0327565
0.0622222 0.0190669 0.0128543 0.000424203 0.00621256 0.0346242 0.0145574 0.0333876
0.0631111 0.0191192 0.0129617 0.000469543 0.00615741 0.0359151 0.0145998 0.0340089
0.064 0.0190749 0.0130599 0.00051868 0.00601504 0.0372163 0.0146468 0.0346246
0.0648889 0.0190149 0.0131491 0.000571006 0.00586575 0.0385268 0.0146987 0.0352261
0.0657778 0.0189084 0.0132298 0.000625952 0.0056786 0.0398458 0.0147558 0.0358127
0.0666667 0.0190276 0.0133023 0.000682987 0.00572531 0.0411725 0.0148184 0.0363806
0.0675556 0.0189186 0.013367 0.000741623 0.00555159 0.042506 0.0148867 0.0369531
0.0684444 0.0189592 0.0134244 0.000801414 0.00553485 0.0438456 0.0149608 0.0375083
0.0693333 0.0188485 0.0134748 0.000861953 0.00537377 0.0451907 0.015041 0.0380617
0.0702222 0.0187375 0.0135185 0.000922875 0.00521893 0.0465404 0.0151272 0.0385991
0.0711111 0.0187675 0.0135561 0.000983852 0.00521136 0.0478942 0.0152194 0.039121
0.072 0.0187349 0.0135879 0.00104459 0.00514709 0.0492514 0.0153178 0.0396422
0.0728889 0.0187028 0.0136141 0.00110484 0.00508866 0.0506115 0.0154223 0.0401569
0.0737778 0.0185825 0.0136353 0.00116436 0.00494717 0.0519741 0.0155328 0.0406657
0.0746667 0.0185952 0.0136517 0.00122298 0.00494348 0.0533384 0.0156492 0.0411604
0.0755556 0.0183644 0.0136637 0.00128051 0.0047007 0.0547043 0.0157715 0.0416548
0.0764444 0.0185213 0.0136715 0.00133682 0.00484977 0.056071 0.0158996 0.0421249
0.0773333 0.0182764 0.0136756 0.00139178 0.00460083 0.0574384 0.0160332 0.0426098
0.0782222 0.018344 0.0136761 0.00144531 0.00466789 0.058806 0.0161724 0.0430699
0.0791111 0.0182341 0.0136735 0.00149732 0.00456066 0.0601736 0.0163169 0.0435367
0.08 0.0181492 0.0136678 0.00154775 0.00448136 0.0615406 0.0164667 0.0439928
0.0808889 0.0181305 0.0136595 0.00159655 0.00447098 0.062907 0.0166215 0.0444409
0.0817778 0.0180459 0.0136487 0.00164369 0.00439721 0.0642725 0.0167811 0.044888
0.0826667 0.0180203 0.0136357 0.00168914 0.0043846 0.0656367 0.0169455 0.0453277
0.0835556 0.0179168 0.0136207 0.0017329 0.00429611 0.0669995 0.0171144 0.0457662
0.0844444 0.0180529 0.0136039 0.00177496 0.00444899 0.0683608 0.0172877 0.0461958
0.0853333 0.0178185 0.0135854 0.00181533 0.00423304 0.0697203 0.0174652 0.0466407
0.0862222 0.0176893 0.0135655 0.00185401 0.00412372 0.0710778 0.0176467 0.047064
0.0871111 0.0177342 0.0135444 0.00189102 0.00418977 0.0724333 0.0178321 0.0474764
0.088 0.0177638 0.0135222 0.00192639 0.0042416 0.0737867 0.0180212 0.0478954
0.0888889 0.0177797 0.013499 0.00196014 0.00428072 0.0751377 0.0182139 0.0483195
0.0897778 0.0176099 0.0134749 0.0019923 0.00413498 0.0764864 0.0184099 0.0487476
0.0906667 0.0176009 0.0134502 0.00202291 0.00415062 0.0778327 0.0186091 0.0491611
0.0915556 0.0175327 0.013425 0.00205199 0.00410772 0.0791765 0.0188114 0.0495761
0.0924444 0.0174622 0.0133993 0.00207958 0.00406289 0.0805177 0.0190166 0.0499869
0.0933333 0.01742 0.0133732 0.00210572 0.0040468 0.0818563 0.0192245 0.0503932
0.0942222 0.017384 0.0133469 0.00213045 0.00403708 0.0831923 0.0194351 0.0507979
0.0951111 0.0174053 0.0133204 0.00215381 0.00408486 0.0845257 0.0196482 0.0512016
0.096 0.0174071 0.0132939 0.00217583 0.00411321 0.0858564 0.0198635 0.0516101
0.0968889 0.0174084 0.0132673 0.00219655 0.00414103 0.0871844 0.0200811 0.0520214
0.0977778 0.0173305 0.0132408 0.00221602 0.00408968 0.0885099 0.0203008 0.0524355
0.0986667 0.0172887 0.0132145 0.00223427 0.00407423 0.0898326 0.0205224 0.0528445
0.0995556 0.0172446 0.0131883 0.00225134 0.00405622 0.0911528 0.0207458 0.0532519
0.100444 0.0172204 0.0131624 0.00226727 0.00405796 0.0924703 0.0209709 0.0536575
0.101333 0.0171278 0.0131368 0.0022821 0.00399104 0.0937853 0.0211977 0.0540633
0.102222 0.0171192 0.0131115 0.00229587 0.00400763 0.0950977 0.0214259 0.0544624
0.103111 0.0171926 0.0130866 0.00230861 0.00410596 0.0964076 0.0216555 0.0548632
0.104 0.017208 0.0130621 0.00232036 0.00414592 0.097715 0.0218863 0.0552738
0.104889 0.0171467 0.0130381 0.00233116 0.00410863 0.09902 0.0221184 0.0556884
0.105778 0.0171551 0.0130145 0.00234104 0.00414064 0.100323 0.0223515 0.0560992
0.106667 0.0171087 0.0129914 0.00235003 0.00411729 0.101623 0.0225856 0.0565133
0.107556 0.0170412 0.0129688 0.00235818 0.00407237 0.102921 0.0228206 0.056925
0.108444 0.0170786 0.0129468 0.0023655 0.00413183 0.104217 0.0230564 0.0573323
0.109333 0.0170965 0.0129253 0.00237205 0.0041712 0.10551 0.023293 0.0577454
0.110222 0.0170703 0.0129044 0.00237784 0.00416591 0.106802 0.0235302 0.0581626
0.111111 0.0170748 0.0128841 0.0023829 0.00419068 0.108091 0.0237679 0.0585792
0.112 0.0169831 0.0128644 0.00238728 0.00411869 0.109379 0.0240062 0.0589982
0.112889 0.0169612 0.0128452 0.002391 0.00411594 0.110664 0.024245 0.0594101
0.113778 0.0170805 0.0128267 0.00239408 0.00425379 0.111948 0.0244841 0.0598217
0.114667 0.0170507 0.0128087 0.00239656 0.004242 0.113229 0.0247235 0.0602471
0.115556 0.0170298 0.0127914 0.00239847 0.00423841 0.114509 0.0249631 0.0606713
0.116444 0.0169298 0.0127746 0.00239983 0.00415516 0.115788 0.025203 0.0610951
0.117333 0.0170369 0.0127585 0.00240067 0.00427843 0.117064 0.025443 0.0615106
0.118222 0.0172205 0.0127429 0.00240102 0.00447755 0.118339 0.025683 0.0619385
0.119111 0.0169028 0.012728 0.0024009 0.00417481 0.119613 0.0259231 0.0623862
0.12 0.0170451 0.0127136 0.00240033 0.00433145 0.120885 0.0261632 0.0628037
0.120889 0.0170418 0.0126998 0.00239935 0.00434196 0.122156 0.0264033 0.0632369
0.121778 0.0170454 0.0126866 0.00239798 0.0043588 0.123425 0.0266432 0.063671
0.122667 0.0169556 0.012674 0.00239623 0.00428159 0.124693 0.026883 0.0641069
0.123556 0.0170602 0.0126619 0.00239413 0.00439826 0.12596 0.0271226 0.0645351
0.124444 0.0169514 0.0126504 0.00239171 0.00430108 0.127225 0.027362 0.0649749
0.125333 0.0171083 0.0126394 0.00238898 0.0044689 0.12849 0.0276012 0.065405
0.126222 0.016955 0.0126289 0.00238598 0.00432612 0.129753 0.0278401 0.0658519
0.127111 0.0170598 0.0126189 0.00238271 0.00444086 0.131016 0.0280787 0.0662845
0.128 0.0170847 0.0126095 0.00237919 0.0044752 0.132277 0.028317 0.0667286
0.128889 0.0170692 0.0126005 0.00237546 0.00446872 0.133538 0.0285549 0.0671761
0.129778 0.0169836 0.012592 0.00237152 0.00439153 0.134797 0.0287924 0.067623
0.130667 0.0170188 0.012584 0.0023674 0.0044348 0.136056 0.0290296 0.0680622
0.131556 0.0171241 0.0125764 0.0023631 0.00454769 0.137314 0.0292663 0.0685056
0.132444 0.0170792 0.0125693 0.00235866 0.00450987 0.138571 0.0295026 0.0689604
0.133333 0.017105 0.0125626 0.00235409 0.00454233 0.139828 0.0297385 0.0694114
0.134222 0.0170499 0.0125564 0.0023494 0.00449351 0.141084 0.0299739 0.0698656
0.135111 0.017 0.0125505 0.0023446 0.00444953 0.142339 0.0302088 0.070315
0.136 0.0171788 0.012545 0.00233972 0.00463386 0.143594 0.0304433 0.0707599
0.136889 0.0171322 0.0125399 0.00233477 0.00459228 0.144848 0.0306773 0.0712233
0.137778 0.0170978 0.0125351 0.00232976 0.00456271 0.146102 0.0309108 0.0716825
0.138667 0.0170722 0.0125307 0.0023247 0.00454145 0.147355 0.0311437 0.0721388
0.139556 0.0171439 0.0125266 0.00231961 0.0046173 0.148608 0.0313762 0.072593
0.140444 0.0170911 0.0125229 0.0023145 0.00456824 0.149861 0.0316082 0.0730547
0.141333 0.0171182 0.0125195 0.00230938 0.00459874 0.151113 0.0318396 0.0735115
0.142222 0.0172477 0.0125163 0.00230426 0.00473142 0.152365 0.0320705 0.0739714
0.143111 0.017068 0.0125134 0.00229915 0.00455452 0.153616 0.032301 0.0744445
0.144 0.0172048 0.0125109 0.00229407 0.00469392 0.154867 0.0325309 0.0749
0.144889 0.0171654 0.0125085 0.00228902 0.00465691 0.156118 0.0327603 0.0753694
0.145778 0.017127 0.0125064 0.00228401 0.00462056 0.157369 0.0329892 0.0758351
0.146667 0.0171304 0.0125046 0.00227904 0.00462577 0.15862 0.0332176 0.0762971
0.147556 0.0172538 0.0125029 0.00227414 0.00475088 0.15987 0.0334455 0.0767597
0.148444 0.0170845 0.0125015 0.00226929 0.00458301 0.16112 0.0336729 0.0772348
0.149333 0.0172372 0.0125003 0.00226452 0.00473687 0.16237 0.0338998 0.0776931
0.150222 0.01726 0.0124993 0.00225982 0.00476075 0.16362 0.0341263 0.0781668
0.151111 0.0172142 0.0124984 0.00225521 0.00471578 0.16487 0.0343523 0.0786428
0.152 0.0171026 0.0124978 0.00225068 0.00460482 0.16612 0.0345778 0.0791144
0.152889 0.0172286 0.0124972 0.00224625 0.00473142 0.16737 0.0348029 0.0795749
0.153778 0.0172302 0.0124969 0.00224191 0.0047333 0.168619 0.0350275 0.080048
0.154667 0.017132 0.0124966 0.00223768 0.00463534 0.169869 0.0352517 0.0805214
0.155556 0.0172064 0.0124965 0.00223355 0.00470984 0.171119 0.0354754 0.0809849
0.156444 0.0172307 0.0124965 0.00222952 0.00473416 0.172368 0.0356988 0.0814559
0.157333 0.017215 0.0124967 0.00222561 0.00471829 0.173618 0.0359218 0.0819293
0.158222 0.0172431 0.0124969 0.0022218 0.00474615 0.174868 0.0361443 0.0824011
0.159111 0.017204 0.0124973 0.00221812 0.00470673 0.176117 0.0363665 0.0828758
0.16 0.0171939 0.0124977 0.00221455 0.00469624 0.177367 0.0365883 0.0833464
0.160889 0.0172489 0.0124982 0.00221109 0.00475069 0.178617 0.0368098 0.0838161
0.161778 0.0172869 0.0124988 0.00220775 0.0047881 0.179867 0.0370309 0.0842911
0.162667 0.0172724 0.0124994 0.00220454 0.00477293 0.181117 0.0372516 0.0847699
0.163556 0.0171708 0.0125002 0.00220144 0.00467061 0.182367 0.0374721 0.0852472
0.164444 0.0172406 0.0125009 0.00219846 0.00473964 0.183617 0.0376922 0.0857143
0.165333 0.0172605 0.0125018 0.0021956 0.00475879 0.184867 0.0379121 0.0861882
0.166222 0.0173393 0.0125026 0.00219286 0.00483664 0.186117 0.0381317 0.0866641
0.167111 0.0172227 0.0125035 0.00219023 0.00471914 0.187367 0.0383509 0.0871478
0.168 0.0171988 0.0125045 0.00218773 0.00469431 0.188618 0.03857 0.0876197
0.168889 0.0173519 0.0125055 0.00218533 0.00484643 0.189868 0.0387887 0.0880891
0.169778 0.0173063 0.0125065 0.00218306 0.00479978 0.191119 0.0390073 0.0885738
0.170667 0.0171296 0.0125075 0.00218089 0.00462205 0.19237 0.0392256 0.0890538
0.171556 0.0173319 0.0125085 0.00217884 0.00482339 0.19362 0.0394437 0.089516
0.172444 0.0171681 0.0125096 0.00217689 0.00465848 0.194871 0.0396615 0.0899983
0.173333 0.0172499 0.0125107 0.00217506 0.00473918 0.196122 0.0398792 0.0904641
0.174222 0.0172809 0.0125117 0.00217333 0.00476918 0.197373 0.0400967 0.0909381
0.175111 0.0172818 0.0125128 0.0021717 0.00476896 0.198625 0.0403141 0.091415
0.176 0.017289 0.0125139 0.00217017 0.00477506 0.199876 0.0405312 0.0918919
0.176889 0.0172895 0.012515 0.00216874 0.00477448 0.201127 0.0407483 0.0923694
0.177778 0.0172899 0.0125161 0.0021674 0.00477388 0.202379 0.0409651 0.0928468
0.178667 0.01732 0.0125171 0.00216616 0.00480292 0.203631 0.0411819 0.0933242
0.179556 0.0172089 0.0125182 0.00216501 0.0046907 0.204882 0.0413985 0.0938045
0.180444 0.0173499 0.0125192 0.00216395 0.00483067 0.206134 0.041615 0.0942736
0.181333 0.0173236 0.0125203 0.00216297 0.00480335 0.207386 0.0418314 0.0947567
