# Parameter : G->QQ gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 10.288 q0= 0.777193 q3= 1.88165 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.000888889 -0.000797432 6.52761e-09 8.78864e-05 -0.000797439 1.6319e-10 2.92816e-06 6.36032e-05
0.00177778 0.00029142 5.22209e-08 0.000146593 0.000291368 2.61105e-09 1.17168e-05 -1.61407e-05
0.00266667 0.000305684 1.76246e-07 0.00020544 0.000305507 1.32184e-08 2.63761e-05 1.29961e-05
0.00355556 0.000289686 4.17767e-07 0.000264453 0.000289269 4.17767e-08 4.69201e-05 4.35469e-05
0.00444444 0.000123402 8.15949e-07 0.000323654 0.000122586 1.01994e-07 7.33654e-05 7.24738e-05
0.00533333 0.000184814 1.40996e-06 0.000383055 0.000183404 2.11494e-07 0.000105731 8.47323e-05
0.00622222 0.000395554 2.23895e-06 0.000442665 0.000393315 3.91818e-07 0.000144036 0.000103073
0.00711111 0.000140788 3.34208e-06 0.000502488 0.000137446 6.68421e-07 0.000188303 0.000142404
0.008 0.000429078 4.75849e-06 0.000562524 0.00042432 1.07068e-06 0.000238552 0.000156149
0.00888889 0.000408476 6.52732e-06 0.000622769 0.000401949 1.63187e-06 0.000294804 0.000198581
0.00977778 0.000372881 8.68768e-06 0.000683217 0.000364194 2.38919e-06 0.000357081 0.000238776
0.0106667 0.000461059 1.12787e-05 0.000743858 0.00044978 3.38376e-06 0.000425403 0.000275195
0.0115556 0.000363492 1.43393e-05 0.000804679 0.000349152 4.66058e-06 0.000499788 0.000320173
0.0124444 0.000562446 1.79087e-05 0.000865663 0.000544538 6.26858e-06 0.000580256 0.000355088
0.0133333 0.000592749 2.20256e-05 0.000926791 0.000570724 8.26056e-06 0.000666823 0.000409542
0.0142222 0.000522867 2.67292e-05 0.000988042 0.000496138 1.06933e-05 0.000759502 0.000466614
0.0151111 0.000628337 3.2058e-05 0.00104939 0.000596279 1.36272e-05 0.000858306 0.000516228
0.016 0.000718225 3.8051e-05 0.00111081 0.000680174 1.7127e-05 0.000963245 0.000575856
