z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
1e-05, 0.0603535, 1.95092e-13, 0.043989, 4.91387e-14, 0.0603535, 1.95243e-13, 
1.18419e-05, 0.0603535, 1.95102e-13, 0.043989, 4.89415e-14, 0.0603535, 1.95094e-13, 
1.40231e-05, 0.0603535, 1.9527e-13, 0.043989, 4.91242e-14, 0.0603535, 1.95072e-13, 
1.6606e-05, 0.0603535, 1.95214e-13, 0.043989, 4.90282e-14, 0.0603535, 1.9508e-13, 
1.96646e-05, 0.0603535, 1.9513e-13, 0.043989, 4.89932e-14, 0.0603535, 1.95014e-13, 
2.32867e-05, 0.0603535, 1.95297e-13, 0.043989, 4.91239e-14, 0.0603535, 1.95095e-13, 
2.75758e-05, 0.0603535, 1.9525e-13, 0.043989, 4.92089e-14, 0.0603535, 1.95047e-13, 
3.2655e-05, 0.0603535, 1.95289e-13, 0.043989, 4.93715e-14, 0.0603535, 1.94926e-13, 
3.86697e-05, 0.0603535, 1.95375e-13, 0.043989, 4.96845e-14, 0.0603535, 1.95045e-13, 
4.57923e-05, 0.0603535, 1.95435e-13, 0.043989, 4.97116e-14, 0.0603535, 1.95064e-13, 
5.42268e-05, 0.0603535, 1.9571e-13, 0.043989, 4.98805e-14, 0.0603535, 1.95089e-13, 
6.42148e-05, 0.0603535, 1.95877e-13, 0.043989, 5.07013e-14, 0.0603535, 1.95028e-13, 
7.60426e-05, 0.0603535, 1.96226e-13, 0.043989, 5.08638e-14, 0.0603535, 1.94902e-13, 
9.00489e-05, 0.0603535, 1.96447e-13, 0.043989, 5.15293e-14, 0.0603535, 1.94962e-13, 
0.000106635, 0.0603535, 1.9682e-13, 0.043989, 5.32418e-14, 0.0603535, 1.94962e-13, 
0.000126276, 0.0603535, 1.9971e-13, 0.043989, 5.42702e-14, 0.0603535, 1.94635e-13, 
0.000149535, 0.0603535, 1.99207e-13, 0.043989, 5.64131e-14, 0.0603535, 1.94689e-13, 
0.000177078, 0.0603535, 1.99992e-13, 0.043989, 6.05346e-14, 0.0603535, 1.946e-13, 
0.000209694, 0.0603535, 2.01707e-13, 0.043989, 6.66788e-14, 0.0603535, 1.94347e-13, 
0.000248317, 0.0603535, 2.04456e-13, 0.043989, 7.03725e-14, 0.0603535, 1.94019e-13, 
0.000294055, 0.0603535, 2.11021e-13, 0.0439891, 7.87255e-14, 0.0603535, 1.93314e-13, 
0.000348217, 0.0603535, 2.14593e-13, 0.0439891, 9.89669e-14, 0.0603535, 1.92957e-13, 
0.000412355, 0.0603535, 2.20851e-13, 0.0439891, 1.18394e-13, 0.0603535, 1.92305e-13, 
0.000488306, 0.0603535, 2.31272e-13, 0.0439891, 1.3266e-13, 0.0603535, 1.91145e-13, 
0.000578247, 0.0603535, 2.55456e-13, 0.0439892, 1.63379e-13, 0.0603535, 1.88312e-13, 
0.000684755, 0.0603536, 2.71961e-13, 0.0439892, 2.80813e-13, 0.0603535, 1.8657e-13, 
0.00081088, 0.0603536, 2.95152e-13, 0.0439893, 3.20641e-13, 0.0603534, 1.83936e-13, 
0.000960236, 0.0603537, 3.35383e-13, 0.0439894, 3.75969e-13, 0.0603534, 1.79558e-13, 
0.0011371, 0.0603537, 4.20935e-13, 0.0439896, 4.9215e-13, 0.0603534, 1.70095e-13, 
0.00134654, 0.0603538, 4.97262e-13, 0.0439898, 6.77981e-13, 0.0603534, 1.61548e-13, 
0.00159456, 0.060354, 5.83487e-13, 0.0439901, 1.10351e-12, 0.0603534, 1.51908e-13, 
0.00188827, 0.0603541, 7.38368e-13, 0.0439906, 1.33026e-12, 0.0603534, 1.34674e-13, 
0.00223607, 0.0603544, 1.03483e-12, 0.0439911, 1.76812e-12, 0.0603533, 1.01745e-13, 
0.00264793, 0.0603547, 1.38554e-12, 0.0439919, 2.46178e-12, 0.0603533, 6.28345e-14, 
0.00313565, 0.0603552, 1.70202e-12, 0.0439929, 4.1241e-12, 0.0603532, 2.75664e-14, 
