z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
1e-05, -nan, nan, 0.108467, 5.08516e-07, -nan, nan, 
1.18419e-05, -nan, nan, 0.108467, 5.08508e-07, -nan, nan, 
1.40231e-05, -nan, nan, 0.108467, 5.08499e-07, -nan, nan, 
1.6606e-05, 0.124124, 7.65909e-07, 0.108467, 5.08484e-07, 0.124124, 7.65909e-07, 
1.96646e-05, 0.124124, 7.66147e-07, 0.108467, 4.45927e-07, 0.124124, 7.66147e-07, 
2.32867e-05, 0.124124, 7.6646e-07, 0.108467, 4.45847e-07, 0.124124, 7.6646e-07, 
2.75758e-05, 0.124124, 7.66873e-07, 0.108467, 4.45747e-07, 0.124124, 7.66873e-07, 
3.2655e-05, 0.124124, 7.67415e-07, 0.108467, 4.45622e-07, 0.124124, 7.67415e-07, 
3.86697e-05, 0.124124, 7.68129e-07, 0.108467, 4.45465e-07, 0.124124, 7.68128e-07, 
4.57923e-05, 0.124124, 7.69072e-07, 0.108467, 4.45263e-07, 0.124124, 7.69072e-07, 
5.42268e-05, 0.124124, 7.70317e-07, 0.108467, 4.45004e-07, 0.124124, 7.70317e-07, 
6.42148e-05, 0.124124, 7.71961e-07, 0.108467, 4.39152e-07, 0.124124, 7.71961e-07, 
7.60426e-05, 0.124124, 4.17932e-07, 0.108467, 4.38766e-07, 0.124124, 4.17932e-07, 
9.00489e-05, 0.124124, 4.18838e-07, 0.108467, 4.38273e-07, 0.124124, 4.18838e-07, 
0.000106635, 0.124124, 4.20168e-07, 0.108467, 4.32064e-07, 0.124124, 4.20167e-07, 
0.000126276, 0.124124, 4.12789e-07, 0.108467, 4.31321e-07, 0.124124, 4.12788e-07, 
0.000149535, 0.124124, 5.61252e-07, 0.108467, 5.6982e-07, 0.124124, 5.61255e-07, 
0.000177078, 0.124124, 5.48754e-07, 0.108467, 1.13391e-06, 0.124124, 5.48754e-07, 
0.000209694, 0.124124, 6.98149e-07, 0.108467, 1.08126e-06, 0.124124, 6.98153e-07, 
0.000248317, 0.124124, 7.03896e-07, 0.108467, 1.08495e-06, 0.124124, 7.03903e-07, 
0.000294055, 0.124124, 6.92724e-07, 0.108467, 1.08842e-06, 0.124124, 6.92727e-07, 
0.000348217, 0.124124, 5.76778e-07, 0.108467, 1.09557e-06, 0.124124, 5.76784e-07, 
0.000412355, 0.124124, 5.78004e-07, 0.108467, 1.09512e-06, 0.124124, 5.78012e-07, 
0.000488306, 0.124124, 5.90772e-07, 0.108467, 1.14446e-06, 0.124124, 5.90788e-07, 
0.000578247, 0.124124, 6.84608e-07, 0.108467, 1.01448e-06, 0.124124, 6.8464e-07, 
0.000684755, 0.124124, 5.71783e-07, 0.108467, 9.46266e-07, 0.124124, 5.71807e-07, 
0.00081088, 0.124124, 4.60658e-07, 0.108467, 1.16988e-06, 0.124124, 4.60654e-07, 
0.000960236, 0.124124, 4.54307e-07, 0.108467, 1.21144e-06, 0.124124, 4.543e-07, 
0.0011371, 0.124124, 4.71362e-07, 0.108468, 1.30383e-06, 0.124124, 4.71387e-07, 
0.00134654, 0.124124, 2.30771e-08, 0.108468, 6.68406e-08, 0.124124, 2.30796e-08, 
0.00159456, 0.124124, 4.74769e-07, 0.108468, 6.69922e-08, 0.124124, 4.7494e-07, 
0.00188827, 0.124124, 4.68737e-07, 0.108468, 5.58715e-07, 0.124124, 4.68707e-07, 
0.00223607, 0.124124, 3.63111e-08, 0.108469, 5.47053e-07, 0.124124, 3.63079e-08, 
0.00264793, 0.124125, 6.81966e-08, 0.108469, 5.40914e-07, 0.124124, 6.81918e-08, 
0.00313565, 0.124125, 6.77933e-08, 0.10847, 5.09873e-07, 0.124124, 6.77896e-08, 
0.00371321, 0.124125, 5.12346e-08, 0.108471, 5.50732e-07, 0.124124, 5.12066e-08, 
0.00439714, 0.124126, 5.51348e-08, 0.108472, 5.84195e-07, 0.124123, 5.51294e-08, 
0.00520705, 0.124127, 7.18617e-08, 0.108474, 1.06724e-06, 0.124123, 6.15116e-08, 
0.00616614, 0.124128, 4.63508e-08, 0.108477, 2.3627e-06, 0.124123, 4.55953e-08, 
0.00730188, 0.124129, 2.82923e-08, 0.10848, 4.82664e-07, 0.124123, 2.7373e-08, 
0.00864682, 0.124131, 5.89318e-07, 0.108484, 6.50228e-07, 0.124122, 6.0188e-07, 
0.0102395, 0.124133, 1.63208e-08, 0.10849, 9.76979e-07, 0.124122, 1.75196e-08, 
0.0121255, 0.124138, 5.52289e-08, 0.108498, 7.57028e-08, 0.124121, 4.12907e-07, 
0.0143589, 0.12414, 4.09525e-08, 0.108509, 3.96255e-07, 0.12412, 4.3375e-08, 
0.0170036, 0.124145, 2.96162e-08, 0.108523, 8.24083e-08, 0.124118, 4.44605e-08, 
0.0201355, 0.124151, 2.86696e-08, 0.108542, -6.95961e-08, 0.124116, 1.00645e-07, 
0.0238443, 0.12416, 4.27844e-08, 0.108568, 7.65043e-08, 0.124113, 8.02582e-08, 
0.0282362, 0.124171, 8.1099e-08, 0.108602, -5.34316e-08, 0.124109, 9.03437e-08, 
0.033437, 0.124186, 8.96216e-08, 0.108649, 3.12898e-07, 0.124103, 3.5981e-07, 
0.0395958, 0.124205, 4.55294e-07, 0.108711, 1.00388e-07, 0.124095, 4.36472e-07, 
0.0468889, 0.12423, 5.41729e-08, 0.108796, 2.87448e-08, 0.124085, 4.24377e-07, 
0.0555254, 0.124262, 3.20346e-07, 0.108911, -7.86943e-08, 0.12407, 4.79366e-07, 
0.0657526, 0.124303, 9.87539e-08, 0.109069, 8.13385e-07, 0.124049, 6.36839e-07, 
0.0778636, 0.124355, 1.4765e-07, 0.109287, 1.44869e-06, 0.12402, 7.40083e-08, 
0.0922053, 0.124424, 5.50179e-07, 0.10959, 1.42477e-06, 0.12398, 3.13268e-07, 
0.109189, 0.124511, 6.77726e-08, 0.110012, 1.06028e-06, 0.123923, 3.266e-07, 
0.1293, 0.124625, 1.04442e-07, 0.110604, 1.44041e-06, 0.123842, 3.9621e-08, 
0.153116, 0.12477, 6.37244e-07, 0.111436, 9.10507e-07, 0.123728, 6.9626e-07, 
0.181318, 0.124953, 3.67753e-07, 0.112604, 9.04049e-08, 0.123564, 5.43985e-08, 
0.214715, 0.125183, 7.12859e-07, 0.11423, 5.23092e-07, 0.123328, 4.7382e-08, 
0.254264, 0.12546, 5.7891e-08, 0.116448, 6.75491e-08, 0.122988, 3.07863e-07, 
0.301097, 0.125778, 9.89374e-08, 0.119343, 2.01231e-07, 0.122496, 2.26767e-07, 
0.356556, 0.126109, 1.06463e-07, 0.122783, 2.19507e-07, 0.121778, 8.51631e-07, 
0.42223, 0.126393, 9.03585e-08, 0.126089, 1.61842e-07, 0.120735, 1.28713e-06, 
0.5, 0.126519, 3.79712e-07, 0.127676, 9.84129e-08, 0.119228, 1.12988e-06, 
0.57777, 0.126393, 9.03585e-08, 0.126089, 1.61842e-07, 0.117451, 6.2531e-08, 
0.643444, 0.126109, 1.06463e-07, 0.122783, 2.19507e-07, 0.115785, 1.34366e-07, 
0.698903, 0.125778, 9.89374e-08, 0.119343, 2.01231e-07, 0.114309, 5.86675e-08, 
0.745736, 0.12546, 5.7891e-08, 0.116448, 6.75491e-08, 0.113058, 1.92341e-07, 
0.785285, 0.125183, 7.12859e-07, 0.11423, 5.23092e-07, 0.112031, 6.99211e-08, 
0.818682, 0.124953, 3.67753e-07, 0.112604, 9.04049e-08, 0.111207, 2.14746e-08, 
0.846884, 0.12477, 6.37244e-07, 0.111436, 9.10507e-07, 0.11056, -7.85285e-08, 
0.8707, 0.124625, 1.04442e-07, 0.110604, 1.44041e-06, 0.110058, 8.91188e-08, 
0.890811, 0.124511, 6.77726e-08, 0.110012, 1.06028e-06, 0.109673, 5.17963e-08, 
0.907795, 0.124424, 5.50179e-07, 0.10959, 1.42477e-06, 0.109379, 1.0889e-07, 
0.922136, 0.124355, 1.4765e-07, 0.109287, 1.44869e-06, 0.109156, 7.4985e-08, 
0.934247, 0.124303, 9.87539e-08, 0.109069, 8.13385e-07, 0.108987, 7.52036e-09, 
0.944475, 0.124262, 3.20346e-07, 0.108911, -7.86943e-08, 0.10886, 5.35783e-08, 
0.953111, 0.12423, 5.41729e-08, 0.108796, 2.87448e-08, 0.108764, -5.27703e-08, 
0.960404, 0.124205, 4.55294e-07, 0.108711, 1.00388e-07, 0.108691, 6.65872e-08, 
0.966563, 0.124186, 8.96216e-08, 0.108649, 3.12898e-07, 0.108636, 8.5017e-08, 
0.971764, 0.124171, 8.1099e-08, 0.108602, -5.34316e-08, 0.108594, 1.20886e-06, 
0.976156, 0.12416, 4.27844e-08, 0.108568, 7.65043e-08, 0.108563, 1.37561e-07, 
0.979864, 0.124151, 2.86696e-08, 0.108542, -6.95961e-08, 0.108539, 5.19302e-08, 
0.982996, 0.124145, 2.96162e-08, 0.108523, 8.24083e-08, 0.108521, 4.89246e-08, 
0.985641, 0.12414, 4.09525e-08, 0.108509, 3.96255e-07, 0.108504, 4.53498e-08, 
