z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
0.001, 0.0526521, 2.17943e-10, 0.0385771, 5.00812e-10, 0.0526519, 2.17855e-10, 
0.00110197, 0.0526521, 2.1996e-10, 0.0385772, 4.88178e-10, 0.0526519, 2.19794e-10, 
0.00121435, 0.0526522, 2.28757e-10, 0.0385773, 4.67323e-10, 0.0526519, 2.28521e-10, 
0.00133818, 0.0526522, 2.28289e-10, 0.0385774, 4.42976e-10, 0.0526519, 2.27807e-10, 
0.00147464, 0.0526523, 2.08836e-10, 0.0385776, 4.1612e-10, 0.0526519, 2.08393e-10, 
0.00162501, 0.0526524, 1.80889e-10, 0.0385777, 3.89553e-10, 0.0526519, 1.80297e-10, 
0.00179072, 0.0526525, 1.49812e-10, 0.0385779, 3.72726e-10, 0.0526519, 1.49054e-10, 
0.00197333, 0.0526526, 9.08325e-11, 0.0385782, 3.59144e-10, 0.0526518, 8.95911e-11, 
0.00217456, 0.0526527, 6.61582e-11, 0.0385784, 3.46467e-10, 0.0526518, 6.59418e-11, 
0.00239631, 0.0526528, 1.21393e-10, 0.0385788, 3.55026e-10, 0.0526518, 1.21133e-10, 
0.00264067, 0.052653, 1.932e-10, 0.0385792, 3.54118e-10, 0.0526518, 1.9231e-10, 
0.00290995, 0.0526532, 2.95805e-10, 0.0385796, 3.02811e-10, 0.0526517, 2.94723e-10, 
0.00320669, 0.0526534, 3.55095e-10, 0.0385802, 2.33727e-10, 0.0526517, 3.54605e-10, 
0.00353369, 0.0526537, 3.86814e-10, 0.0385809, 1.49466e-10, 0.0526516, 3.84743e-10, 
0.00389403, 0.0526541, 4.07492e-10, 0.0385817, 6.26419e-11, 0.0526516, 4.05008e-10, 
0.00429112, 0.0526545, 3.97556e-10, 0.0385827, 3.14746e-11, 0.0526515, 3.97648e-10, 
0.00472871, 0.052655, 2.76011e-10, 0.0385838, 3.18114e-11, 0.0526514, 2.76847e-10, 
0.00521091, 0.0526556, 3.31558e-10, 0.0385852, 1.42427e-10, 0.0526513, 3.26753e-10, 
0.00574229, 0.0526563, 3.159e-10, 0.0385868, 2.40738e-10, 0.0526512, 3.06366e-10, 
0.00632786, 0.0526571, 3.27919e-10, 0.0385888, 2.88089e-10, 0.052651, 3.11597e-10, 
0.00697314, 0.0526581, 3.66048e-10, 0.0385911, 3.95311e-10, 0.0526508, 3.66592e-10, 
0.00768422, 0.0526593, 3.57364e-10, 0.0385939, 5.9727e-10, 0.0526506, 3.48968e-10, 
0.00846781, 0.0526607, 2.07409e-10, 0.0385972, 6.72755e-10, 0.0526503, 1.99575e-10, 
0.0093313, 0.0526623, 1.56534e-10, 0.0386011, 7.57547e-10, 0.05265, 1.30369e-10, 
0.0102829, 0.0526643, 2.04582e-10, 0.0386058, 8.45973e-10, 0.0526497, 2.05937e-10, 
0.0113314, 0.0526666, 2.09757e-10, 0.0386113, 8.28737e-10, 0.0526492, 2.16222e-10, 
0.012487, 0.0526693, 2.46471e-10, 0.0386179, 9.80712e-10, 0.0526486, 2.25735e-10, 
0.0137603, 0.0526726, 2.03253e-10, 0.0386258, 1.00162e-09, 0.052648, 1.75332e-10, 
0.0151635, 0.0526765, 4.08412e-10, 0.0386351, 1.08415e-09, 0.0526472, 4.11264e-10, 
0.0167098, 0.0526811, 4.02831e-10, 0.0386461, 9.73997e-10, 0.0526463, 3.37852e-10, 
0.0184137, 0.0526865, 3.92713e-10, 0.0386593, 9.46709e-10, 0.0526451, 3.87686e-10, 
0.0202915, 0.0526929, 1.96155e-10, 0.0386749, 8.65728e-10, 0.0526438, 1.31771e-10, 
0.0223607, 0.0527004, 1.40805e-10, 0.0386934, 6.94047e-10, 0.0526422, 1.77741e-10, 
0.0246409, 0.0527094, 2.28492e-10, 0.0387154, 1.46363e-10, 0.0526402, 9.01612e-11, 
0.0271536, 0.0527199, 4.76639e-10, 0.0387415, 2.66066e-10, 0.0526379, 4.12541e-10, 
0.0299226, 0.0527323, 2.40692e-10, 0.0387724, 4.02175e-10, 0.0526351, 3.05398e-10, 
0.0329739, 0.0527469, 1.73812e-10, 0.038809, 6.02873e-10, 0.0526318, 1.12831e-10, 
0.0363364, 0.0527641, 1.4964e-10, 0.0388525, 5.28253e-10, 0.0526277, 2.23475e-10, 
0.0400418, 0.0527843, 3.45018e-10, 0.038904, 8.12789e-10, 0.0526229, 2.84741e-10, 
0.044125, 0.0528081, 1.58339e-10, 0.038965, 8.04841e-10, 0.0526172, 1.01629e-10, 
0.0486246, 0.0528359, 3.57223e-10, 0.0390373, 8.02589e-10, 0.0526102, 4.33766e-10, 
0.0535831, 0.0528686, 2.82358e-10, 0.0391228, 8.18519e-10, 0.0526019, 1.4845e-10, 
0.0590472, 0.0529067, 4.66671e-10, 0.0392241, 6.04721e-10, 0.0525919, 3.63085e-10, 
0.0650685, 0.0529513, 8.61631e-10, 0.039344, 5.84379e-10, 0.0525799, 9.45946e-11, 
0.0717038, 0.0530033, 4.73334e-10, 0.0394858, 1.04419e-09, 0.0525655, 3.32536e-10, 
0.0790157, 0.0530639, 6.38791e-10, 0.0396535, 1.37624e-09, 0.0525482, 3.65088e-10, 
0.0870732, 0.0531343, 6.28452e-10, 0.0398517, 1.84384e-09, 0.0525273, 8.31149e-11, 
0.0959525, 0.0532159, 6.60651e-10, 0.0400858, 2.26428e-09, 0.0525023, 1.66326e-10, 
0.105737, 0.0533102, 5.2503e-10, 0.0403621, 2.05289e-09, 0.052472, 2.36525e-10, 
0.11652, 0.053419, 7.68514e-10, 0.0406879, 1.98101e-09, 0.0524356, 4.33297e-10, 
0.128402, 0.0535439, 1.25042e-09, 0.0410716, 2.38603e-09, 0.0523915, 2.25247e-10, 
0.141495, 0.0536868, 1.45666e-09, 0.0415228, 2.69515e-09, 0.0523384, 1.72347e-10, 
0.155924, 0.0538494, 1.33925e-09, 0.0420519, 2.75264e-09, 0.052274, -1.97786e-11, 
0.171824, 0.0540333, 1.39222e-09, 0.0426706, 5.38191e-10, 0.0521961, 2.58073e-10, 
0.189346, 0.0542399, 2.36566e-08, 0.043391, 5.01797e-09, 0.0521014, 1.00061e-10, 
0.208654, 0.0544697, 2.33789e-08, 0.0442249, 4.78713e-09, 0.0519864, 1.15011e-10, 
0.229932, 0.0547224, 2.29038e-08, 0.0451822, 6.2445e-09, 0.0518464, 2.13766e-08, 
0.253379, 0.0549962, 2.23479e-08, 0.0462685, 8.39498e-09, 0.0516754, 2.05674e-08, 
0.279217, 0.0552872, 2.39611e-08, 0.0474809, 1.00786e-08, 0.0514664, 1.9365e-08, 
0.30769, 0.0555883, 2.19237e-08, 0.0488016, 1.21625e-08, 0.0512102, 1.87472e-08, 
0.339066, 0.0558886, 2.15318e-08, 0.0501886, 1.54068e-08, 0.0508954, 1.71262e-08, 
0.373642, 0.0561716, 2.03573e-08, 0.0515642, 1.96843e-08, 0.0505077, 1.59875e-08, 
0.411744, 0.0564148, 2.02347e-08, 0.0528016, 3.56027e-10, 0.0500295, 1.46927e-08, 
0.453731, 0.0565882, 2.01997e-08, 0.0537172, 5.20838e-10, 0.0494385, 1.27524e-08, 
0.5, 0.0566551, 1.99424e-08, 0.0540781, 5.97936e-10, 0.0487078, 1.07046e-08, 
0.546269, 0.0565882, 2.01997e-08, 0.0537172, 5.20838e-10, 0.0478933, 9.30201e-09, 
0.588256, 0.0564148, 2.02347e-08, 0.0528016, 3.56027e-10, 0.0470829, 7.00732e-09, 
0.626358, 0.0561716, 2.03573e-08, 0.0515642, 1.96843e-08, 0.0462915, 5.83047e-09, 
0.660934, 0.0558886, 2.15318e-08, 0.0501886, 1.54068e-08, 0.0455309, 6.70857e-09, 
0.69231, 0.0555883, 2.19237e-08, 0.0488016, 1.21625e-08, 0.0448101, 5.7936e-09, 
0.720783, 0.0552872, 2.39611e-08, 0.0474809, 1.00786e-08, 0.0441352, 4.90847e-09, 
0.746621, 0.0549962, 2.23479e-08, 0.0462685, 8.39498e-09, 0.0435098, 5.96522e-09, 
0.770068, 0.0547224, 2.29038e-08, 0.0451822, 6.2445e-09, 0.0429358, 5.39669e-09, 
0.791346, 0.0544697, 2.33789e-08, 0.0442249, 4.78713e-09, 0.0424133, 4.95781e-09, 
0.810654, 0.0542399, 2.36566e-08, 0.043391, 5.01797e-09, 0.0419412, 3.98569e-09, 
0.828176, 0.0540333, 1.39222e-09, 0.0426706, 5.38191e-10, 0.0415173, 2.53899e-09, 
0.844076, 0.0538494, 1.33925e-09, 0.0420519, 2.75264e-09, 0.0411389, 1.8051e-09, 
0.858505, 0.0536868, 1.45666e-09, 0.0415228, 2.69515e-09, 0.040803, 2.02577e-09, 
0.871598, 0.0535439, 1.25042e-09, 0.0410716, 2.38603e-09, 0.0405061, 1.78455e-09, 
0.88348, 0.053419, 7.68514e-10, 0.0406879, 1.98101e-09, 0.0402448, 1.85053e-09, 
0.894263, 0.0533102, 5.2503e-10, 0.0403621, 2.05289e-09, 0.0400158, 1.47194e-09, 
0.904048, 0.0532159, 6.60651e-10, 0.0400858, 2.26428e-09, 0.0398157, 6.73605e-10, 
0.912927, 0.0531343, 6.28452e-10, 0.0398517, 1.84384e-09, 0.0396414, 1.18609e-09, 
0.920984, 0.0530639, 6.38791e-10, 0.0396535, 1.37624e-09, 0.03949, 9.07594e-10, 
0.928296, 0.0530033, 4.73334e-10, 0.0394858, 1.04419e-09, 0.039359, 8.79804e-10, 
0.934932, 0.0529513, 8.61631e-10, 0.039344, 5.84379e-10, 0.0392457, 9.64249e-10, 
0.940953, 0.0529067, 4.66671e-10, 0.0392241, 6.04721e-10, 0.039148, 1.18967e-09, 
0.946417, 0.0528686, 2.82358e-10, 0.0391228, 8.18519e-10, 0.039064, 4.85938e-10, 
0.951375, 0.0528359, 3.57223e-10, 0.0390373, 8.02589e-10, 0.0389918, 6.44348e-10, 
0.955875, 0.0528081, 1.58339e-10, 0.038965, 8.04841e-10, 0.0389299, 6.83239e-10, 
0.959958, 0.0527843, 3.45018e-10, 0.038904, 8.12789e-10, 0.0388769, 6.53074e-10, 
0.963664, 0.0527641, 1.4964e-10, 0.0388525, 5.28253e-10, 0.0388317, 2.61183e-10, 
0.967026, 0.0527469, 1.73812e-10, 0.038809, 6.02873e-10, 0.038793, 6.39209e-10, 
0.970077, 0.0527323, 2.40692e-10, 0.0387724, 4.02175e-10, 0.03876, 9.62341e-10, 
0.972846, 0.0527199, 4.76639e-10, 0.0387415, 2.66066e-10, 0.038732, 1.11795e-09, 
0.975359, 0.0527094, 2.28492e-10, 0.0387154, 1.46363e-10, 0.0387081, 9.29555e-10, 
0.977639, 0.0527004, 1.40805e-10, 0.0386934, 6.94047e-10, 0.0386878, 7.42937e-10, 
0.979709, 0.0526929, 1.96155e-10, 0.0386749, 8.65728e-10, 0.0386706, 5.82568e-11, 
0.981586, 0.0526865, 3.92713e-10, 0.0386593, 9.46709e-10, 0.038656, 1.75232e-10, 
0.98329, 0.0526811, 4.02831e-10, 0.0386461, 9.73997e-10, 0.0386436, 3.5791e-10, 
0.984837, 0.0526765, 4.08412e-10, 0.0386351, 1.08415e-09, 0.0386331, 5.27891e-10, 
0.98624, 0.0526726, 2.03253e-10, 0.0386258, 1.00162e-09, 0.0386243, 4.14852e-10, 
0.987513, 0.0526693, 2.46471e-10, 0.0386179, 9.80712e-10, 0.0386168, 4.814e-10, 
0.988669, 0.0526666, 2.09757e-10, 0.0386113, 8.28737e-10, 0.0386105, 5.45797e-10, 
0.989717, 0.0526643, 2.04582e-10, 0.0386058, 8.45973e-10, 0.0386051, 6.10388e-10, 
0.990669, 0.0526623, 1.56534e-10, 0.0386011, 7.57547e-10, 0.0386006, 7.1858e-10, 
0.991532, 0.0526607, 2.07409e-10, 0.0385972, 6.72755e-10, 0.0385968, 5.97828e-10, 
0.992316, 0.0526593, 3.57364e-10, 0.0385939, 5.9727e-10, 0.0385936, 6.17849e-10, 
0.993027, 0.0526581, 3.66048e-10, 0.0385911, 3.95311e-10, 0.0385909, 6.26617e-10, 
0.993672, 0.0526571, 3.27919e-10, 0.0385888, 2.88089e-10, 0.0385886, 5.75157e-10, 
0.994258, 0.0526563, 3.159e-10, 0.0385868, 2.40738e-10, 0.0385867, 5.51312e-10, 
0.994789, 0.0526556, 3.31558e-10, 0.0385852, 1.42427e-10, 0.0385851, 5.60162e-10, 
0.995271, 0.052655, 2.76011e-10, 0.0385838, 3.18114e-11, 0.0385838, 5.813e-10, 
0.995709, 0.0526545, 3.97556e-10, 0.0385827, 3.14746e-11, 0.0385826, 5.81201e-10, 
0.996106, 0.0526541, 4.07492e-10, 0.0385817, 6.26419e-11, 0.0385817, 5.23611e-10, 
0.996466, 0.0526537, 3.86814e-10, 0.0385809, 1.49466e-10, 0.0385809, 5.01784e-10, 
0.996793, 0.0526534, 3.55095e-10, 0.0385802, 2.33727e-10, 0.0385802, 5.00577e-10, 
0.99709, 0.0526532, 2.95805e-10, 0.0385796, 3.02811e-10, 0.0385796, 5.20036e-10, 
0.997359, 0.052653, 1.932e-10, 0.0385792, 3.54118e-10, 0.0385792, 5.53799e-10, 
0.997604, 0.0526528, 1.21393e-10, 0.0385788, 3.55026e-10, 0.0385788, 6.0675e-10, 
0.997825, 0.0526527, 6.61582e-11, 0.0385784, 3.46467e-10, 0.0385784, 5.92749e-10, 
0.998027, 0.0526526, 9.08325e-11, 0.0385782, 3.59144e-10, 0.0385781, 5.77319e-10, 
0.998209, 0.0526525, 1.49812e-10, 0.0385779, 3.72726e-10, 0.0385779, 5.55234e-10, 
0.998375, 0.0526524, 1.80889e-10, 0.0385777, 3.89553e-10, 0.0385777, 5.62745e-10, 
0.998525, 0.0526523, 2.08836e-10, 0.0385776, 4.1612e-10, 0.0385776, 5.58949e-10, 
0.998662, 0.0526522, 2.28289e-10, 0.0385774, 4.42976e-10, 0.0385774, 5.50877e-10, 
0.998786, 0.0526522, 2.28757e-10, 0.0385773, 4.67323e-10, 0.0385773, 5.40897e-10, 
0.998898, 0.0526521, 2.1996e-10, 0.0385772, 4.88178e-10, 0.0385772, 5.31656e-10, 
