z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
1e-05, 0.0526519, 2.35174e-10, 0.0385767, 5.35315e-10, 0.0526519, 2.35174e-10, 
1.18419e-05, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0526519, 2.35174e-10, 
1.40231e-05, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0526519, 2.35173e-10, 
1.6606e-05, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0526519, 2.35173e-10, 
1.96646e-05, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0526519, 2.35173e-10, 
2.32867e-05, 0.0526519, 2.35173e-10, 0.0385767, 5.35315e-10, 0.0526519, 2.35173e-10, 
2.75758e-05, 0.0526519, 2.35173e-10, 0.0385767, 5.35316e-10, 0.0526519, 2.35173e-10, 
3.2655e-05, 0.0526519, 2.35172e-10, 0.0385767, 5.35323e-10, 0.0526519, 2.35172e-10, 
3.86697e-05, 0.0526519, 2.35172e-10, 0.0385767, 5.35332e-10, 0.0526519, 2.35171e-10, 
4.57923e-05, 0.0526519, 2.35171e-10, 0.0385767, 5.35343e-10, 0.0526519, 2.35171e-10, 
5.42268e-05, 0.0526519, 2.35183e-10, 0.0385767, 5.35355e-10, 0.0526519, 2.35183e-10, 
6.42148e-05, 0.0526519, 2.3491e-10, 0.0385767, 5.3537e-10, 0.0526519, 2.3491e-10, 
7.60426e-05, 0.0526519, 2.34534e-10, 0.0385767, 5.35388e-10, 0.0526519, 2.34533e-10, 
9.00489e-05, 0.0526519, 2.34106e-10, 0.0385767, 5.35541e-10, 0.0526519, 2.34105e-10, 
0.000106635, 0.0526519, 2.33597e-10, 0.0385767, 5.35776e-10, 0.0526519, 2.33596e-10, 
0.000126276, 0.0526519, 2.32993e-10, 0.0385767, 5.36703e-10, 0.0526519, 2.32992e-10, 
0.000149535, 0.0526519, 2.31969e-10, 0.0385767, 5.39741e-10, 0.0526519, 2.31967e-10, 
0.000177078, 0.0526519, 2.30627e-10, 0.0385767, 5.43345e-10, 0.0526519, 2.30625e-10, 
0.000209694, 0.0526519, 2.29614e-10, 0.0385767, 5.47652e-10, 0.0526519, 2.29612e-10, 
0.000248317, 0.0526519, 2.28683e-10, 0.0385767, 5.52794e-10, 0.0526519, 2.2868e-10, 
0.000294055, 0.052652, 2.26425e-10, 0.0385768, 5.58749e-10, 0.0526519, 2.26418e-10, 
0.000348217, 0.052652, 2.23731e-10, 0.0385768, 5.65407e-10, 0.0526519, 2.23723e-10, 
0.000412355, 0.052652, 2.2052e-10, 0.0385768, 5.80115e-10, 0.0526519, 2.20511e-10, 
0.000488306, 0.052652, 2.16666e-10, 0.0385768, 5.9206e-10, 0.0526519, 2.16653e-10, 
0.000578247, 0.052652, 2.14417e-10, 0.0385769, 5.74575e-10, 0.0526519, 2.14382e-10, 
0.000684755, 0.052652, 2.15663e-10, 0.0385769, 5.52881e-10, 0.0526519, 2.15613e-10, 
0.00081088, 0.0526521, 2.1686e-10, 0.038577, 5.30308e-10, 0.0526519, 2.16801e-10, 
0.000960236, 0.0526521, 2.17793e-10, 0.0385771, 5.06397e-10, 0.0526519, 2.17712e-10, 
0.0011371, 0.0526522, 2.22786e-10, 0.0385772, 4.81884e-10, 0.0526519, 2.22607e-10, 
0.00134654, 0.0526522, 2.27155e-10, 0.0385774, 4.41331e-10, 0.0526519, 2.26672e-10, 
0.00159456, 0.0526524, 1.86577e-10, 0.0385777, 3.9359e-10, 0.0526519, 1.86006e-10, 
0.00188827, 0.0526525, 1.18549e-10, 0.038578, 3.65835e-10, 0.0526518, 1.17384e-10, 
0.00223607, 0.0526527, 8.10359e-11, 0.0385785, 3.43461e-10, 0.0526518, 8.08827e-11, 
0.00264793, 0.052653, 1.95311e-10, 0.0385792, 3.52721e-10, 0.0526518, 1.94729e-10, 
0.00313565, 0.0526534, 3.41759e-10, 0.0385801, 2.48868e-10, 0.0526517, 3.41292e-10, 
0.00371321, 0.0526539, 3.96837e-10, 0.0385813, 1.07128e-10, 0.0526516, 3.94578e-10, 
0.00439714, 0.0526546, 3.67894e-10, 0.0385829, -1.6964e-12, 0.0526515, 3.68301e-10, 
