z, G_{gg}, G_{gg}Err, G_{qq}, G_{qq}Err, Q_{gq}, Q_{gq}Err
0.001, 0.143797, 5.55552e-08, 0.113178, 5.42514e-08, 0.143797, 5.55574e-08, 
0.00110197, 0.143797, 5.59854e-08, 0.113178, 5.4305e-08, 0.143797, 5.59883e-08, 
0.00121435, 0.143797, 5.64805e-08, 0.113178, 5.44323e-08, 0.143797, 5.64832e-08, 
0.00133818, 0.143797, 5.68727e-08, 0.113178, 5.45794e-08, 0.143797, 5.68757e-08, 
0.00147464, 0.143797, 5.73211e-08, 0.113179, 5.47283e-08, 0.143797, 5.73248e-08, 
0.00162501, 0.143798, 5.79319e-08, 0.113179, 5.48673e-08, 0.143797, 5.79351e-08, 
0.00179072, 0.143798, 5.86875e-08, 0.113179, 5.50051e-08, 0.143797, 5.86872e-08, 
0.00197333, 0.143798, 5.91422e-08, 0.113179, 5.5125e-08, 0.143797, 5.91416e-08, 
0.00217456, 0.143798, 5.95691e-08, 0.11318, 5.5238e-08, 0.143797, 5.95718e-08, 
0.00239631, 0.143798, 5.98928e-08, 0.11318, 5.54268e-08, 0.143797, 5.98963e-08, 
0.00264067, 0.143798, 6.02991e-08, 0.113181, 5.57727e-08, 0.143797, 6.03054e-08, 
0.00290995, 0.143799, 6.07043e-08, 0.113182, 5.60074e-08, 0.143797, 6.07092e-08, 
0.00320669, 0.143799, 6.10674e-08, 0.113182, 5.60886e-08, 0.143797, 6.10738e-08, 
0.00353369, 0.143799, 6.13051e-08, 0.113183, 5.60998e-08, 0.143796, 6.12944e-08, 
0.00389403, 0.1438, 6.08081e-08, 0.113185, 5.61451e-08, 0.143796, 6.0794e-08, 
0.00429112, 0.1438, 5.98331e-08, 0.113186, 5.6117e-08, 0.143796, 5.98308e-08, 
0.00472871, 0.143801, 5.85999e-08, 0.113188, 5.61521e-08, 0.143796, 5.85863e-08, 
0.00521091, 0.143802, 5.79133e-08, 0.11319, 5.57795e-08, 0.143796, 5.78856e-08, 
0.00574229, 0.143803, 5.74616e-08, 0.113192, 5.56845e-08, 0.143796, 5.74127e-08, 
0.00632786, 0.143804, 5.71003e-08, 0.113195, 5.58979e-08, 0.143795, 5.70245e-08, 
0.00697314, 0.143805, 5.6228e-08, 0.113199, 5.63011e-08, 0.143795, 5.61325e-08, 
0.00768422, 0.143807, 5.67716e-08, 0.113203, 5.68213e-08, 0.143795, 5.67261e-08, 
0.00846781, 0.143809, 5.60918e-08, 0.113208, 5.70845e-08, 0.143794, 5.61116e-08, 
0.0093313, 0.143811, 5.54415e-08, 0.113214, 5.72351e-08, 0.143794, 5.54407e-08, 
0.0102829, 0.143813, 5.3338e-08, 0.113221, 5.67262e-08, 0.143793, 5.34129e-08, 
0.0113314, 0.143817, 5.47449e-08, 0.11323, 5.61695e-08, 0.143792, 5.47063e-08, 
0.012487, 0.143821, 5.6081e-08, 0.11324, 5.59e-08, 0.143791, 5.63249e-08, 
0.0137603, 0.143825, 5.80939e-08, 0.113253, 5.54998e-08, 0.14379, 5.81399e-08, 
0.0151635, 0.143831, 5.71012e-08, 0.113267, 5.45408e-08, 0.143789, 5.6946e-08, 
0.0167098, 0.143837, 5.46738e-08, 0.113285, 5.42157e-08, 0.143787, 5.43771e-08, 
0.0184137, 0.143845, 5.81331e-08, 0.113307, 5.45622e-08, 0.143785, 5.81332e-08, 
0.0202915, 0.143854, 5.77602e-08, 0.113332, 5.39606e-08, 0.143782, 5.8308e-08, 
0.0223607, 0.143865, 5.81028e-08, 0.113363, 5.43889e-08, 0.143779, 5.82616e-08, 
0.0246409, 0.143878, 5.60291e-08, 0.1134, 5.30448e-08, 0.143775, 5.60701e-08, 
0.0271536, 0.143893, 5.34699e-08, 0.113444, 5.17586e-08, 0.143771, 5.35782e-08, 
0.0299226, 0.143912, 5.85792e-08, 0.113496, 5.1455e-08, 0.143766, 5.94977e-08, 
0.0329739, 0.143934, 6.16942e-08, 0.113559, 5.21341e-08, 0.143759, 6.20575e-08, 
0.0363364, 0.143959, 5.60966e-08, 0.113635, 5.21947e-08, 0.143751, 5.73541e-08, 
0.0400418, 0.14399, 5.51217e-08, 0.113726, 5.19972e-08, 0.143742, 5.68513e-08, 
0.044125, 0.144027, 6.3762e-08, 0.113834, 5.1574e-08, 0.14373, 6.23508e-08, 
0.0486246, 0.14407, 5.44695e-08, 0.113964, 5.13401e-08, 0.143716, 5.3677e-08, 
0.0535831, 0.144121, 6.05579e-08, 0.11412, 5.04843e-08, 0.1437, 6.15049e-08, 
0.0590472, 0.144181, 5.69229e-08, 0.114306, 5.22296e-08, 0.143679, 5.37597e-08, 
0.0650685, 0.144252, 5.83284e-08, 0.114529, 5.52874e-08, 0.143655, 6.13052e-08, 
0.0717038, 0.144336, 5.72385e-08, 0.114797, 5.51488e-08, 0.143625, 5.46323e-08, 
0.0790157, 0.144434, 6.00214e-08, 0.115117, 5.22403e-08, 0.143589, 5.64069e-08, 
0.0870732, 0.14455, 5.49846e-08, 0.115501, 5.48256e-08, 0.143545, 5.95745e-08, 
0.0959525, 0.144685, 5.66247e-08, 0.11596, 5.62291e-08, 0.143492, 5.76288e-08, 
0.105737, 0.144843, 6.19167e-08, 0.11651, 5.86587e-08, 0.143428, 5.43684e-08, 
0.11652, 0.145028, 6.27373e-08, 0.117167, 5.57256e-08, 0.14335, 5.37363e-08, 
0.128402, 0.145242, 5.88631e-08, 0.117952, 5.61239e-08, 0.143255, 5.80912e-08, 
0.141495, 0.14549, 5.64034e-08, 0.118888, 5.82623e-08, 0.14314, 5.6924e-08, 
0.155924, 0.145776, 5.62383e-08, 0.120002, 5.69473e-08, 0.142999, 6.22874e-08, 
0.171824, 0.146103, 5.70558e-08, 0.121324, 5.19647e-08, 0.142827, 5.47344e-08, 
0.189346, 0.146474, 5.82264e-08, 0.122887, 5.27443e-08, 0.142617, 5.95892e-08, 
0.208654, 0.146891, 5.60272e-08, 0.124724, 5.56202e-08, 0.14236, 5.7351e-08, 
0.229932, 0.147355, 6.33411e-08, 0.126866, 5.29081e-08, 0.142044, 5.41652e-08, 
0.253379, 0.147864, 5.94553e-08, 0.129333, 5.39758e-08, 0.141658, 5.62022e-08, 
0.279217, 0.14841, 7.29105e-08, 0.132128, 5.1747e-08, 0.141182, 5.81212e-08, 
0.30769, 0.148981, 5.71911e-08, 0.135218, 5.19719e-08, 0.140596, 6.85066e-08, 
0.339066, 0.149556, 5.58445e-08, 0.138509, 7.35223e-08, 0.139873, 5.39625e-08, 
0.373642, 0.150102, 6.03411e-08, 0.141814, 8.03348e-08, 0.138981, 9.10753e-08, 
0.411744, 0.150574, 6.16441e-08, 0.144819, 5.38674e-08, 0.137877, 1.07538e-07, 
0.453731, 0.150913, 5.61467e-08, 0.147062, 8.6969e-08, 0.136512, 6.38291e-08, 
0.5, 0.151044, 6.53699e-08, 0.14795, 6.15054e-08, 0.134827, 5.33573e-08, 
0.546269, 0.150913, 5.61467e-08, 0.147062, 8.6969e-08, 0.132955, 6.01365e-08, 
0.588256, 0.150574, 6.16441e-08, 0.144819, 5.38674e-08, 0.131102, 5.36454e-08, 
0.626358, 0.150102, 6.03411e-08, 0.141814, 8.03348e-08, 0.129304, 7.24152e-08, 
0.660934, 0.149556, 5.58445e-08, 0.138509, 7.35223e-08, 0.127591, 6.2462e-08, 
0.69231, 0.148981, 5.71911e-08, 0.135218, 5.19719e-08, 0.125981, 5.96873e-08, 
0.720783, 0.14841, 7.29105e-08, 0.132128, 5.1747e-08, 0.124488, 5.63683e-08, 
0.746621, 0.147864, 5.94553e-08, 0.129333, 5.39758e-08, 0.123119, 5.57327e-08, 
0.770068, 0.147355, 6.33411e-08, 0.126866, 5.29081e-08, 0.121875, 5.74313e-08, 
0.791346, 0.146891, 5.60272e-08, 0.124724, 5.56202e-08, 0.120755, 5.32787e-08, 
0.810654, 0.146474, 5.82264e-08, 0.122887, 5.27443e-08, 0.119755, 5.173e-08, 
0.828176, 0.146103, 5.70558e-08, 0.121324, 5.19647e-08, 0.118866, 4.89933e-08, 
0.844076, 0.145776, 5.62383e-08, 0.120002, 5.69473e-08, 0.118083, 5.35169e-08, 
0.858505, 0.14549, 5.64034e-08, 0.118888, 5.82623e-08, 0.117395, 5.92492e-08, 
0.871598, 0.145242, 5.88631e-08, 0.117952, 5.61239e-08, 0.116795, 5.35478e-08, 
0.88348, 0.145028, 6.27373e-08, 0.117167, 5.57256e-08, 0.116272, 6.16923e-08, 
0.894263, 0.144843, 6.19167e-08, 0.11651, 5.86587e-08, 0.11582, 5.44695e-08, 
0.904048, 0.144685, 5.66247e-08, 0.11596, 5.62291e-08, 0.115429, 5.55385e-08, 
0.912927, 0.14455, 5.49846e-08, 0.115501, 5.48256e-08, 0.115093, 5.19682e-08, 
0.920984, 0.144434, 6.00214e-08, 0.115117, 5.22403e-08, 0.114804, 5.19689e-08, 
0.928296, 0.144336, 5.72385e-08, 0.114797, 5.51488e-08, 0.114557, 5.29623e-08, 
0.934932, 0.144252, 5.83284e-08, 0.114529, 5.52874e-08, 0.114346, 6.00623e-08, 
0.940953, 0.144181, 5.69229e-08, 0.114306, 5.22296e-08, 0.114165, 5.89601e-08, 
0.946417, 0.144121, 6.05579e-08, 0.11412, 5.04843e-08, 0.114012, 5.43171e-08, 
0.951375, 0.14407, 5.44695e-08, 0.113964, 5.13401e-08, 0.113882, 5.30055e-08, 
0.955875, 0.144027, 6.3762e-08, 0.113834, 5.1574e-08, 0.113771, 5.30063e-08, 
0.959958, 0.14399, 5.51217e-08, 0.113726, 5.19972e-08, 0.113678, 5.45913e-08, 
0.963664, 0.143959, 5.60966e-08, 0.113635, 5.21947e-08, 0.113599, 5.81557e-08, 
0.967026, 0.143934, 6.16942e-08, 0.113559, 5.21341e-08, 0.113532, 5.79619e-08, 
0.970077, 0.143912, 5.85792e-08, 0.113496, 5.1455e-08, 0.113475, 5.75672e-08, 
0.972846, 0.143893, 5.34699e-08, 0.113444, 5.17586e-08, 0.113428, 5.53686e-08, 
0.975359, 0.143878, 5.60291e-08, 0.1134, 5.30448e-08, 0.113387, 5.51312e-08, 
0.977639, 0.143865, 5.81028e-08, 0.113363, 5.43889e-08, 0.113354, 5.48845e-08, 
0.979709, 0.143854, 5.77602e-08, 0.113332, 5.39606e-08, 0.113325, 5.29362e-08, 
0.981586, 0.143845, 5.81331e-08, 0.113307, 5.45622e-08, 0.113301, 5.11203e-08, 
0.98329, 0.143837, 5.46738e-08, 0.113285, 5.42157e-08, 0.113281, 5.17551e-08, 
0.984837, 0.143831, 5.71012e-08, 0.113267, 5.45408e-08, 0.113264, 5.17687e-08, 
0.98624, 0.143825, 5.80939e-08, 0.113253, 5.54998e-08, 0.11325, 5.16776e-08, 
0.987513, 0.143821, 5.6081e-08, 0.11324, 5.59e-08, 0.113238, 5.1827e-08, 
0.988669, 0.143817, 5.47449e-08, 0.11323, 5.61695e-08, 0.113228, 5.17078e-08, 
0.989717, 0.143813, 5.3338e-08, 0.113221, 5.67262e-08, 0.11322, 5.16439e-08, 
0.990669, 0.143811, 5.54415e-08, 0.113214, 5.72351e-08, 0.113213, 5.09185e-08, 
0.991532, 0.143809, 5.60918e-08, 0.113208, 5.70845e-08, 0.113207, 5.09531e-08, 
0.992316, 0.143807, 5.67716e-08, 0.113203, 5.68213e-08, 0.113202, 5.12885e-08, 
0.993027, 0.143805, 5.6228e-08, 0.113199, 5.63011e-08, 0.113198, 5.19832e-08, 
0.993672, 0.143804, 5.71003e-08, 0.113195, 5.58979e-08, 0.113195, 5.22052e-08, 
0.994258, 0.143803, 5.74616e-08, 0.113192, 5.56845e-08, 0.113192, 5.22525e-08, 
0.994789, 0.143802, 5.79133e-08, 0.11319, 5.57795e-08, 0.11319, 5.2193e-08, 
0.995271, 0.143801, 5.85999e-08, 0.113188, 5.61521e-08, 0.113188, 5.17662e-08, 
0.995709, 0.1438, 5.98331e-08, 0.113186, 5.6117e-08, 0.113186, 5.16768e-08, 
0.996106, 0.1438, 6.08081e-08, 0.113185, 5.61451e-08, 0.113184, 5.14675e-08, 
0.996466, 0.143799, 6.13051e-08, 0.113183, 5.60998e-08, 0.113183, 5.15911e-08, 
0.996793, 0.143799, 6.10674e-08, 0.113182, 5.60886e-08, 0.113182, 5.16224e-08, 
0.99709, 0.143799, 6.07043e-08, 0.113182, 5.60074e-08, 0.113182, 5.15655e-08, 
0.997359, 0.143798, 6.02991e-08, 0.113181, 5.57727e-08, 0.113181, 5.16203e-08, 
0.997604, 0.143798, 5.98928e-08, 0.11318, 5.54268e-08, 0.11318, 5.19213e-08, 
0.997825, 0.143798, 5.95691e-08, 0.11318, 5.5238e-08, 0.11318, 5.21061e-08, 
0.998027, 0.143798, 5.91422e-08, 0.113179, 5.5125e-08, 0.113179, 5.22409e-08, 
0.998209, 0.143798, 5.86875e-08, 0.113179, 5.50051e-08, 0.113179, 5.23376e-08, 
0.998375, 0.143798, 5.79319e-08, 0.113179, 5.48673e-08, 0.113179, 5.2436e-08, 
0.998525, 0.143797, 5.73211e-08, 0.113179, 5.47283e-08, 0.113179, 5.25368e-08, 
0.998662, 0.143797, 5.68727e-08, 0.113178, 5.45794e-08, 0.113178, 5.26536e-08, 
0.998786, 0.143797, 5.64805e-08, 0.113178, 5.44323e-08, 0.113178, 5.27673e-08, 
0.998898, 0.143797, 5.59854e-08, 0.113178, 5.4305e-08, 0.113178, 5.28554e-08, 
