# Parameter : Q->GQ gs = 1.66238 P = 300 T = 1 z = 0.25 mDSqr= 4.14527 Qs^2 = 19.6581 q0= 0.777193 q3= 6.87004 muSqr= 0.444905
 t Sum LODeriv NLODeriv NLODeriv2 LOSpect NLOSpect NLOSpect2 
0.000888889 0.000540048 8.7015e-08 0.000266231 0.000539961 2.17537e-09 8.86554e-06 -1.12603e-05
0.00177778 0.000214848 6.96119e-07 0.000444344 0.000214152 3.4806e-08 3.54887e-05 4.27358e-05
0.00266667 0.000224184 2.34939e-06 0.000623019 0.000221835 1.76205e-07 7.99231e-05 6.4151e-05
0.00355556 0.000639138 5.56887e-06 0.000802156 0.000633569 5.56892e-07 0.000142225 8.63345e-05
0.00444444 0.000520277 1.08765e-05 0.000981561 0.000509401 1.35958e-06 0.000222441 0.000149691
0.00533333 0.000759546 1.87938e-05 0.00116096 0.000740753 2.81918e-06 0.000320597 0.000200631
0.00622222 0.000706004 2.98418e-05 0.00134003 0.000676162 5.2227e-06 0.000436693 0.000274707
0.00711111 0.000867336 4.45407e-05 0.00151835 0.000822795 8.90923e-06 0.000570696 0.000342323
0.008 0.000891183 6.34088e-05 0.00169547 0.000827774 1.42698e-05 0.000722531 0.000424602
0.00888889 0.00118853 8.69625e-05 0.00187088 0.00110156 2.17472e-05 0.000892078 0.00050738
0.00977778 0.00117647 0.000115715 0.002044 0.00106075 3.18356e-05 0.00107917 0.000617536
0.0106667 0.00146572 0.000150174 0.0022142 0.00131555 4.50804e-05 0.00128357 0.000723612
0.0115556 0.00147915 0.000190843 0.00238083 0.00128831 6.20774e-05 0.00150499 0.000855167
0.0124444 0.00155917 0.000238217 0.00254314 0.00132096 8.34724e-05 0.00174307 0.000983997
0.0133333 0.00192078 0.000292781 0.00270039 0.001628 0.00010996 0.00199738 0.00111609
0.0142222 0.00214816 0.000355009 0.00285176 0.00179315 0.000142284 0.00226742 0.00127889
0.0151111 0.00232639 0.00042536 0.00299642 0.00190103 0.000181233 0.0025526 0.00145821
0.016 0.00244242 0.000504276 0.00313349 0.00193814 0.000227642 0.00285224 0.00164831
0.0168889 0.00277543 0.000592177 0.00326209 0.00218326 0.000282388 0.00316559 0.00184212
0.0177778 0.00316908 0.00068946 0.00338132 0.00247962 0.00034639 0.0034918 0.00206045
0.0186667 0.00330399 0.000796495 0.00349027 0.00250749 0.000420605 0.00382993 0.00230841
0.0195556 0.00367124 0.000913616 0.00358805 0.00275762 0.000506025 0.00417896 0.00255916
0.0204444 0.00388258 0.00104112 0.00367379 0.00284146 0.000603674 0.00453776 0.00283492
0.0213333 0.00436116 0.00117928 0.00374666 0.00318188 0.000714605 0.00490514 0.00311907
0.0222222 0.00458166 0.00132829 0.00380588 0.00325337 0.000839892 0.00527981 0.00343726
0.0231111 0.00498031 0.00148833 0.00385075 0.00349198 0.000980631 0.0056604 0.00376259
0.024 0.00545215 0.00165949 0.00388062 0.00379265 0.00113793 0.00604547 0.00411179
0.0248889 0.00571878 0.00184184 0.00389499 0.00387694 0.0013129 0.00643353 0.00449106
0.0257778 0.00623971 0.00203535 0.00389344 0.00420437 0.00150667 0.00682303 0.00487875
0.0266667 0.00661107 0.00223994 0.00387571 0.00437113 0.00172034 0.00721238 0.00529919
0.0275556 0.00699949 0.00245546 0.00384166 0.00454403 0.00195502 0.00759995 0.0057363
0.0284444 0.00760425 0.00268168 0.00379134 0.00492257 0.00221179 0.00798411 0.0061907
